number;Family;Genus;species;sci_name;variant;sugar_concentration;type;europe;north_america;south_america;africa;asia;australia;reference;notes;;;
225;Rosaceae;Fragaria;sp.;Fragaria sp.;Torry;36.5;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
226;Rosaceae;Fragaria;sp.;Fragaria sp.;Howard;30;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
227;Rosaceae;Fragaria;sp.;Fragaria sp.;Florida;31;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
228;Rosaceae;Fragaria;sp.;Fragaria sp.;Fairfox;35;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
229;Rosaceae;Fragaria;sp.;Fragaria sp.;Blackmoor;31;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
230;Rosaceae;Fragaria;sp.;Fragaria sp.;Red coat;30;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
231;Rosaceae;Fragaria;sp.;Fragaria sp.;Cats kill;37;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
232;Rosaceae;Fragaria;sp.;Fragaria sp.;Shasta;32;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
233;Rosaceae;Fragaria;sp.;Fragaria sp.;Elista;42;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
234;Rosaceae;Fragaria;sp.;Fragaria sp.;Robinson;34;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
235;Rosaceae;Fragaria;sp.;Fragaria sp.;Missionary;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.;;;;
236;Rosaceae;Impatiens;gladulifera;Impatiens gladulifera;NA;48;weed;yes;yes;yes;NA;yes;yes;Chittka, L., & Schürkens, S. (2001). Successful invasion of a floral market. Nature, 411(6838), 653.;;;;
237;Amaryllidaceae;Allium;cepa;Allium cepa;NA;68.9;crop;yes;yes;yes;yes;yes;yes;Kumar, J., & Gupta, J. K. (1993). Nectar sugar production and honeybee foraging activity in 3 species of onion (Allium species). Apidologie, 24(4), 391-396.;;;;
238;Amaryllidaceae;Allium;fistulosum;Allium fistulosum;NA;56.7;crop;yes;yes;yes;yes;yes;yes;Kumar, J., & Gupta, J. K. (1993). Nectar sugar production and honeybee foraging activity in 3 species of onion (Allium species). Apidologie, 24(4), 391-396.;;;;
239;Amaryllidaceae;Allium;cepa x fistulosum;Allium cepa x fistulosum;NA;53.7;crop;yes;yes;yes;yes;yes;yes;Kumar, J., & Gupta, J. K. (1993). Nectar sugar production and honeybee foraging activity in 3 species of onion (Allium species). Apidologie, 24(4), 391-396.;;;;
240;Apocynaceae;Asclepias;syriaca;Asclepias syriaca;clon 1;23;weed;yes;yes;NA;NA;NA;yes;Southwick, A. K., & Southwick, E. E. (1983). Aging effect on nectar production in two clones of Asclepias syriaca. Oecologia, 56(1), 121-125.;;;;
241;Apocynaceae;Asclepias;syriaca;Asclepias syriaca;clon 2;33.5;weed;yes;yes;NA;NA;NA;yes;Southwick, A. K., & Southwick, E. E. (1983). Aging effect on nectar production in two clones of Asclepias syriaca. Oecologia, 56(1), 121-125.;;;;
242;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
243;Brassicacae;Brassica;rapa;Brassica rapa;Toria;43.8;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
244;Brassicacae;Brassica;rapa;Brassica rapa;Toria;42;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
245;Brassicacae;Brassica;rapa;Brassica rapa;Toria;41.5;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
246;Brassicacae;Brassica;rapa;Brassica rapa;Toria;40;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
247;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38.6;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
248;Brassicacae;Brassica;rapa;Brassica rapa;Toria;43;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
249;Brassicacae;Brassica;rapa;Brassica rapa;Toria;40;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
250;Brassicacae;Brassica;rapa;Brassica rapa;Toria;41;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
251;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
252;Brassicacae;Brassica;rapa;Brassica rapa;Toria;42;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
253;Brassicacae;Brassica;rapa;Brassica rapa;Toria;41.5;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
254;Brassicacae;Brassica;rapa;Brassica rapa;Toria;40;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
255;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
256;Brassicacae;Brassica;rapa;Brassica rapa;Toria;42;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
257;Brassicacae;Brassica;rapa;Brassica rapa;Toria;40;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
258;Brassicacae;Brassica;rapa;Brassica rapa;Toria;41.5;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
259;Brassicacae;Brassica;rapa;Brassica rapa;Toria;36;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
260;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
261;Brassicacae;Brassica;rapa;Brassica rapa;Toria;41;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
262;Brassicacae;Brassica;rapa;Brassica rapa;Toria;42;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
263;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
264;Brassicacae;Brassica;rapa;Brassica rapa;Toria;38;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
265;Brassicacae;Brassica;rapa;Brassica rapa;Toria;42.5;crop;yes;yes;yes;yes;yes;yes;Abrol, D. P. (2007). Foraging behaviour of Apis mellifera and Apis cerana as determined by the energetics of nectar production in different cultivars of Brassica campestris var. toria. Journal of Apicultural Science, 51(2), 19-24.;;;;
266;Rhamnaceae;Ziziphus;mauritana;Ziziphus mauritana;NA;40;crop;yes;yes;yes;yes;yes;yes;Sihag, R. C., & Abrol, D. P. (1986). Correlation and Path-Coefficient Analysis of Environmental Factors Influencing Flight Activity of Apis Florea F. Journal of Apicultural Research, 25(4), 202-208.;;;;
267;Fabaceae;Lotus;corniculatus;Lotus corniculatus;NA;49.2;weed;yes;yes;yes;NA;yes;yes;Rusterholz, H. P., & Erhardt, A. (1998). Effects of elevated CO 2 on flowering phenology and nectar production of nectar plants important for butterflies of calcareous grasslands. Oecologia, 113(3), 341-349.;;;;
268;Fabaceae;Trifolium;pratense;Trifolium pratense;NA;28.4;crop;yes;yes;yes;yes;yes;yes;Rusterholz, H. P., & Erhardt, A. (1998). Effects of elevated CO 2 on flowering phenology and nectar production of nectar plants important for butterflies of calcareous grasslands. Oecologia, 113(3), 341-349.;;;;
269;Lamiaceae;Stachys;officinalis;Stachys officinalis;NA;54;weed;yes;yes;NA;yes;yes;yes;Rusterholz, H. P., & Erhardt, A. (1998). Effects of elevated CO 2 on flowering phenology and nectar production of nectar plants important for butterflies of calcareous grasslands. Oecologia, 113(3), 341-349.;;;;
270;Caprifoliaceae;Scabiosa;columbaria;Scabiosa columbaria;NA;56.7;wild;yes;NA;NA;yes;yes;yes;Rusterholz, H. P., & Erhardt, A. (1998). Effects of elevated CO 2 on flowering phenology and nectar production of nectar plants important for butterflies of calcareous grasslands. Oecologia, 113(3), 341-349.;;;;
271;Asteraceae;Centaurea;jacea;Centaurea jacea;NA;48.4;weed;yes;yes;yes;NA;yes;yes;Rusterholz, H. P., & Erhardt, A. (1998). Effects of elevated CO 2 on flowering phenology and nectar production of nectar plants important for butterflies of calcareous grasslands. Oecologia, 113(3), 341-349.;;;;
272;Rosaceae;Rubus;idaeus;Rubus idaeus;NA;14.6;crop;yes;yes;yes;yes;yes;yes;Raw, G. R. (1953). The effect on nectar secretion of removing nectar from flowers. Bee World, 34(2), 23-25.;;;;
273;Rosaceae;Rubus;idaeus;Rubus idaeus;NA;19.8;crop;yes;yes;yes;yes;yes;yes;Raw, G. R. (1953). The effect on nectar secretion of removing nectar from flowers. Bee World, 34(2), 23-25.;;;;
274;Rosaceae;Rubus;fructicosus;Rubus fructicosus;NA;23.9;crop;yes;yes;yes;yes;yes;yes;Raw, G. R. (1953). The effect on nectar secretion of removing nectar from flowers. Bee World, 34(2), 23-25.;;;;
275;Rosaceae;Rubus;fructicosus;Rubus fructicosus;NA;45.3;crop;yes;yes;yes;yes;yes;yes;Raw, G. R. (1953). The effect on nectar secretion of removing nectar from flowers. Bee World, 34(2), 23-25.;;;;
276;Asteraceae;Taraxacum;sp. (day 1);Taraxacum sp. (day 1);NA;48.9;weed;yes;yes;yes;yes;yes;yes;Szabo, T. I. (1984). Nectar secretion in dandelion. Journal of Apicultural Research, 23(4), 204-208.;;;;
277;Asteraceae;Taraxacum;sp. (day 2);Taraxacum sp. (day 2);NA;54.3;weed;yes;yes;yes;yes;yes;yes;Szabo, T. I. (1984). Nectar secretion in dandelion. Journal of Apicultural Research, 23(4), 204-208.;;;;
278;Asteraceae;Taraxacum;sp. (day 3);Taraxacum sp. (day 3);NA;36.7;weed;yes;yes;yes;yes;yes;yes;Szabo, T. I. (1984). Nectar secretion in dandelion. Journal of Apicultural Research, 23(4), 204-208.;;;;
279;Solanaceae;Capsicum;annuum (BR sterile);Capsicum annuum;NA;6.5;crop;yes;yes;NA;NA;NA;NA;Rabinowitch, H. D., Fahn, A., Meir, T. A. L., & Lensky, Y. (1993). Flower and nectar attributes of pepper (Capsicum annuum L.) plants in relation to their attractiveness to honeybees (Apis mellifera L.). Annals of applied biology, 123(2), 221-232.;;;;
280;Solanaceae;Capsicum;annuum (MA sterile);Capsicum annuum;NA;21.7;crop;yes;yes;NA;NA;NA;NA;Rabinowitch, H. D., Fahn, A., Meir, T. A. L., & Lensky, Y. (1993). Flower and nectar attributes of pepper (Capsicum annuum L.) plants in relation to their attractiveness to honeybees (Apis mellifera L.). Annals of applied biology, 123(2), 221-232.;;;;
281;Solanaceae;Capsicum;annuum (BR fertile);Capsicum annuum;NA;6.3;crop;yes;yes;NA;NA;NA;NA;Rabinowitch, H. D., Fahn, A., Meir, T. A. L., & Lensky, Y. (1993). Flower and nectar attributes of pepper (Capsicum annuum L.) plants in relation to their attractiveness to honeybees (Apis mellifera L.). Annals of applied biology, 123(2), 221-232.;;;;
282;Solanaceae;Capsicum;annuum (MA fertile);Capsicum annuum;NA;24.3;crop;yes;yes;NA;NA;NA;NA;Rabinowitch, H. D., Fahn, A., Meir, T. A. L., & Lensky, Y. (1993). Flower and nectar attributes of pepper (Capsicum annuum L.) plants in relation to their attractiveness to honeybees (Apis mellifera L.). Annals of applied biology, 123(2), 221-232.;;;;
283;Malvaceae;Tilia;platyphyllos;Tilia platyphyllos;NA;27.8;wild;yes;yes;yes;NA;yes;yes;Beutler, R. (1953). Nectar. Bee World, 34(6), 106-116.;;;;
284;Malvaceae;Tilia;europaea;Tilia europaea;NA;27.8;wild;yes;yes;NA;NA;yes;yes;Beutler, R. (1953). Nectar. Bee World, 34(6), 106-116.;;;;
285;Fabaceae;Trifolium;pratense;Trifolium pratense;clone 23;44.4;crop;yes;yes;yes;yes;yes;yes;Beutler, R. (1953). Nectar. Bee World, 34(6), 106-116.;;;;
286;Fabaceae;Trifolium;pratense;Trifolium pratense;clone 10;39;crop;yes;yes;yes;yes;yes;yes;Beutler, R. (1953). Nectar. Bee World, 34(6), 106-116.;;;;
287;Fabaceae;Trifolium;pratense;Trifolium pratense;clone 4;39.7;crop;yes;yes;yes;yes;yes;yes;Beutler, R. (1953). Nectar. Bee World, 34(6), 106-116.;;;;
288;Fabaceae;Trifolium;pratense;Trifolium pratense;Altaswede;49.3;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
289;Fabaceae;Trifolium;pratense;Trifolium pratense;Bjorn;47.8;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
290;Fabaceae;Trifolium;pratense;Trifolium pratense;Deben;37.1;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
291;Fabaceae;Trifolium;pratense;Trifolium pratense;Diper;38.8;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
292;Fabaceae;Trifolium;pratense;Trifolium pratense;Janbo;33.1;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
293;Fabaceae;Trifolium;pratense;Trifolium pratense;Kenstar;40;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
294;Fabaceae;Trifolium;pratense;Trifolium pratense;Kvarta;39.7;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
295;Fabaceae;Trifolium;pratense;Trifolium pratense;Norlac;49.3;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
296;Fabaceae;Trifolium;pratense;Trifolium pratense;Quin;43.2;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
297;Fabaceae;Trifolium;pratense;Trifolium pratense;Redman;46.9;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
298;Fabaceae;Trifolium;pratense;Trifolium pratense;Start;37.1;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
299;Fabaceae;Trifolium;pratense;Trifolium pratense;Triton;36.3;crop;yes;yes;yes;yes;yes;yes;Szabo, T. I., & Najda, H. G. (1985). Flowering, nectar secretion and pollen production of some legumes in the Peace River Region of Alberta, Canada. Journal of Apicultural Research, 24(2), 102-106.;;;;
300;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;51.5;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
301;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;64;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
302;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;46;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
303;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;56.5;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
304;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;56;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
305;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;54.6;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
306;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;54.3;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
307;Ranunculaceae;Aconitum;columbianum;Aconitum columbianum;NA;45.2;wild;NA;yes;NA;NA;NA;NA;Brink, D. & deWet, J.M.J. (1980). Interpopulation variation in nectar production in Aconitum columbianum (Ranunculaceae). Oecologia, 47(2), 160-163.;;;;
308;Brassicacae;Brassica;rapa;Brassica rapa;Sarson;49;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
309;Brassicacae;Brassica;rapa;Brassica rapa;Toria;48.5;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
310;Brassicacae;Brassica;napus;Brassica napus;Candal;39;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
311;Brassicacae;Brassica;napus;Brassica napus;Regent;42;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
312;Brassicacae;Brassica;rapa;Brassica rapa;NA;57;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
313;Brassicacae;Brassica;napus;Brassica napus;NA;62;crop;yes;yes;yes;yes;yes;yes;Mohr, N. A., & Jay, S. C. (1990). Nectar production of selected cultivars of Brassica campestris L. and Brassica napus L. Journal of Apicultural Research, 29(2), 95-100.;;;;
314;Asteraceae;Helianthus;annuus;Helianthus annuus;Flavia;52;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
315;Asteraceae;Helianthus;annuus;Helianthus annuus;Alinka;58;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
316;Asteraceae;Helianthus;annuus;Helianthus annuus;Flores;59;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
317;Asteraceae;Helianthus;annuus;Helianthus annuus;Rigasol;51;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
318;Asteraceae;Helianthus;annuus;Helianthus annuus;DK3828;41;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
319;Asteraceae;Helianthus;annuus;Helianthus annuus;Sanluca;52;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
320;Asteraceae;Helianthus;annuus;Helianthus annuus;Fleury;50;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
321;Asteraceae;Helianthus;annuus;Helianthus annuus;Icarsol;52;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
322;Asteraceae;Helianthus;annuus;Helianthus annuus;Petra;51;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
323;Asteraceae;Helianthus;annuus;Helianthus annuus;Alliance;46;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
324;Asteraceae;Helianthus;annuus;Helianthus annuus;Gala;55;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
325;Asteraceae;Helianthus;annuus;Helianthus annuus;Sideral;56;crop;yes;yes;yes;yes;yes;yes;Hedtke, C. (2000). Die Sonnenblume als Trachtpflanze. Das Honigen verschiedener Sonnenblumensorten. Deutsches Bienen Journal, 8(7), 19-21.;;;;
