number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
113,Ericaceae ,Vaccinium,sp.,Vaccinium sp.,,55.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
114,Fabaceae,Trifolium,pratense,Trifolium pratense,,38.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
115,Fabaceae,Trifolium,repens,Trifolium repens,,38.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
116,Fabaceae,Trifolium,hybridium,Trifolium hybridium,,43.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
117,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,,37.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
118,Fabaceae,Onobrychis,sp.,Onobrychis sp.,,35.5,,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
119,Fabaceae,Medicago,falcata,Medicago falcata,,32.5,wild,yes,,,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
120,Fabaceae,Melilotus,albus,Melilotus albus,,35.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
121,Fabaceae,Lotus,corniculatus,Lotus corniculatus,,39.5,weed,yes,yes,yes,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
122,Fabaceae,Glycine,sp.,Glycine sp.,,41.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
123,Fabaceae,Styphnolobium,japonica,Styphnolobium japonica,,48.0,wild,yes,yes,yes,yes,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
124,Caprifoliaceae,Knautia,sp.,Knautia sp.,,20.0,,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
125,Polygonaceae,Fagopyrum,esculentum,Fagopyrum esculentum,,29.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
126,Asteraceae,Cichorieae,spp. (good year),Cichorieae spp.,,55.1,wild,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
127,Asteraceae,Cichorieae,spp. (bad year),Cichorieae spp.,,42.6,wild,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
128,Asteraceae,Leontodon,autumnalis,Leontodon autumnalis,,33.0,weed,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
129,Asteraceae,Centaurea,jacea,Centaurea jacea,,45.0,weed,yes,yes,yes,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
130,Asteraceae,Solidago,serotina,Solidago serotina,,38.0,weed,yes,yes,yes,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
131,Brassicacae,Raphanus,raphanistrum,Raphanus raphanistrum,,51.5,weed,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
132,Brassicacae,Brassica,oleracea,Brassica oleracea,,56.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
133,Brassicacae,Sinapis,alba,Sinapis alba,,43.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
134,Brassicacae,Sinapis,arvensis,Sinapis arvensis,,45.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
135,Brassicacae,Raphanus,raphanistrum,Raphanus raphanistrum,,58.0,weed,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
136,Brassicacae,Eruca,vesicaria,Eruca vesicaria,,64.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
137,Rhamnaceae,Rhamnus,frangula,Rhamnus frangula,,44.0,wild,yes,yes,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
138,Cucurbitaceae,Cucumis,spp.,Cucumis spp.,,40.5,crop,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
139,Linaceae,Linum,usitatissimum,Linum usitatissimum,,37.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
140,Asparagaceae,Asparagus,officinalis,Asparagus officinalis,,47.5,crop,yes,yes,yes,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
141,Amaryllidaceae,Allium,cepa,Allium cepa,,60.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
142,Malvaceae,Tilia,platyphyllos,Tilia platyphyllos,,33.9,wild,yes,yes,yes,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
143,Malvaceae,Tilia,cordata,Tilia cordata,,39.7,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
144,Malvaceae,Tilia,europaea,Tilia europaea,,32.5,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
145,Malvaceae,Tilia,euchlora,Tilia euchlora,,30.9,wild,yes,yes,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
146,Malvaceae,Tilia,tomentosa,Tilia tomentosa,,25.9,wild,yes,yes,yes,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
147,Lamiaceae,Salvia,sp.,Salvia sp.,,33.5,wild,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
148,Lamiaceae,Salvia,sp. (polen & israel),Salvia sp.,,62.5,wild,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
149,Lamiaceae,Thymus,spp.,Thymus spp.,,36.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
150,Lamiaceae,Lamium,album,Lamium album,,33.5,wild,yes,yes,,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
151,Lamiaceae,Lamium,maculatum,Lamium maculatum,,56.0,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
152,Lamiaceae,Lamium,galeobdolon,Lamium galeobdolon,,33.7,wild,yes,yes,,,,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
153,Lamiaceae,Dracocephalum,sp.,Dracocephalum sp.,,39.0,wild,yes,yes,yes,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
154,Magnoliaceae ,Liriodendrum,tulipifera,Liriodendrum tulipifera,,26.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
155,Malvaceae,Malva,sylvestris,Malva sylvestris,,45.0,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
156,Malvaceae,Althaea,officinalis,Althaea officinalis,,44.0,wild,yes,yes,yes,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
157,Malvaceae,Lavatera,sp.,Lavatera sp.,,15.0,wild,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
158,Malvaceae,Althaea,rosea,Althaea rosea,,20.0,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
159,Malvaceae,Lavateran,punctata,Lavateran punctata,,25.0,wild,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
160,Malvaceae,Hibiscus,rosa-sinensis,Hibiscus rosa-sinensis,,58.0,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
161,Malvaceae,Chamaenerion,angustifolium,Chamaenerion angustifolium,,53.5,weed,yes,yes,,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
162,Oleaceae,Oleaceae,spp.,Oleaceae spp.,,37.0,,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
163,Vitaceae,Pathenocissus,tricuspidale,Pathenocissus tricuspidale,,48.0,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
164,Rosaceae,Malus,domestica,Malus sp.,,42.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
165,Rosaceae,Pyrus,communis,Pyrus communis,,17.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
166,Rosaceae,Prunus,sp.,Prunus sp.,,27.0,crop,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
167,Rosaceae,Sorbus,aucuparia,Sorbus aucuparia,,25.0,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
168,Rosaceae,Rubus,sp.,Rubus sp.,,45.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
169,Rosaceae,Rubus,sp.,Rubus sp.,,30.5,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
170,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,,58.0,wild,yes,yes,,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
171,Grossulariaceae,Ribes,sp.,Ribes sp.,,24.0,crop,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
172,Grossulariaceae,Ribes,sp.,Ribes sp.,,17.5,crop,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
173,Grossulariaceae,Ribes,sp.,Ribes sp.,,49.0,crop,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
174,Geraniaceae,Geranium,sp.,Geranium sp.,,64.0,,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
175,Violaceae,Viola,sylvestris,Viola sylvestris,,23.0,wild,yes,yes,,yes,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
176,Boraginaceae,Phacelia,tanacetifolia,Phacelia tanacetifolia,,32.5,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
177,Salicaceae,Salix,caprea,Salix caprea,,73.0,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
178,Salicaceae,Salix,caprea (kätzchen),Salix caprea,,67.0,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
179,Salicaceae,Salix,daphnoides (kätzchen),Salix daphnoides,,55.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
180,Salicaceae,Salix,mean,Salix mean,,65.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
181,Lythraceae,Lythrum,sp.,Lythrum sp.,,62.0,,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
182,Fabaceae,Adesmia,candida,Adesmia candida,#14,37.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
183,Fabaceae,Adesmia,candida,Adesmia candida,#69,56.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
184,Fabaceae,Adesmia,filipes,Adesmia filipes,,68.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
185,Fabaceae,Adesmia,serrana,Adesmia serrana,,65.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
186,Fabaceae,Anthrophyllum,rigidum,Anthrophyllum rigidum,,60.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
187,Fabaceae,Astragalus,cruckshanksii,Astragalus cruckshanksii,,31.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
188,Fabaceae,Hoffmannseggia,trifolata,Hoffmannseggia trifolata,#42,32.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
189,Fabaceae,Hoffmannseggia,trifolata,Hoffmannseggia trifolata,#68,44.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
190,Fabaceae,Hoffmannseggia,trifolata,Hoffmannseggia trifolata,#73,38.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
191,Fabaceae,Hoffmannseggia,trifolata,Hoffmannseggia trifolata,#41,52.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
192,Losacae,Losa,argentina,Losa argentina,,70.0,wild,,yes,,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
193,Nyctaginaceae,Bougainvillea,spinosa,Bougainvillea spinosa,#26,33.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
194,Oleaceae,Menodora,robusta,Menodora robusta,#15,39.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
195,Oleaceae,Menodora,robusta,Menodora robusta,#16,45.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
196,Oleaceae,Menodora,robusta,Menodora robusta,#17,37.0,wild,,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
197,Zygophyllaceae,Larrea,divaricata,Larrea divaricata,,58.0,wild,,yes,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
198,Zygophyllaceae,Larrea,nitida,Larrea nitida,,55.0,wild,yes,,yes,,,,"Forcone, A., Galetto, L., & Bernardello, L. (1997). Floral nectar chemical composition of some species from Patagonia. Biochemical Systematics and Ecology, 25(5), 395-402.",
199,Asteraceae,Multisia,retrorsa,Multisia retrorsa,#458,50.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
200,Asteraceae,Multisia,retrorsa,Multisia retrorsa,#478,45.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
201,Asteraceae,Multisia,spinosa,Multisia spinosa,#457,40.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
202,Asteraceae,Multisia,spinosa,Multisia spinosa,#437,34.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
203,Fabaceae,Adesmia,ageghinoi,Adesmia ageghinoi,,46.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
204,Fabaceae,Adesmia,candida,Adesmia candida,,48.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
205,Fabaceae,Adesmia,corymbosa,Adesmia corymbosa,#281,52.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
206,Fabaceae,Adesmia,lotoides,Adesmia lotoides,,48.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
207,Fabaceae,Adesmia,obcordata,Adesmia obcordata,#304,54.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
208,Fabaceae,Adesmia,obcordata,Adesmia obcordata,#308,70.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
209,Fabaceae,Adesmia,obcordata,Adesmia obcordata,#362,75.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
210,Fabaceae,Adesmia,obcordata,Adesmia obcordata,#446,60.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
211,Fabaceae,Adesmia,obcordata,Adesmia obcordata,#447,65.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
212,Fabaceae,Adesmia,villosa,Adesmia villosa,#309,70.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
213,Fabaceae,Adesmia,villosa,Adesmia villosa,#436,50.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
214,Fabaceae,Adesmia,volkmanni,Adesmia volkmanni,#292,58.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
215,Fabaceae,Adesmia,volkmanni,Adesmia volkmanni,#363,50.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
216,Fabaceae,Adesmia,volkmanni,Adesmia volkmanni,#452,40.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
217,Fabaceae,Astragalus,cruckshanksii,Astragalus cruckshanksii,#364,35.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
218,Fabaceae,Astragalus,cruckshanksii,Astragalus cruckshanksii,#443,26.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
219,Fabaceae,Glycyrrhiza,astragalina,Glycyrrhiza astragalina,#185,30.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
220,Fabaceae,Hoffmannseggia,erecta,Hoffmannseggia erecta,#291,32.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
221,Fabaceae,Hoffmannseggia,erecta,Hoffmannseggia erecta,#293,38.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
222,Fabaceae,Hoffmannseggia,erecta,Hoffmannseggia erecta,#455,25.0,wild,,,yes,,,,"Bernardello, G., Galetto, L., & Forcone, A. (1999). Floral nectar chemical composition of some species from Patagonia. II. Biochemical Systematics and Ecology, 27(8), 779-790.",
223,Rosaceae,Fragaria,sp.,Fragaria sp.,Senasengena,32.5,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
224,Rosaceae,Fragaria,sp.,Fragaria sp.,Cavalier,34.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
225,Rosaceae,Fragaria,sp.,Fragaria sp.,Torry,36.5,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
226,Rosaceae,Fragaria,sp.,Fragaria sp.,Howard,30.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
227,Rosaceae,Fragaria,sp.,Fragaria sp.,Florida,31.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
228,Rosaceae,Fragaria,sp.,Fragaria sp.,Fairfox,35.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
229,Rosaceae,Fragaria,sp.,Fragaria sp.,Blackmoor,31.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
230,Rosaceae,Fragaria,sp.,Fragaria sp.,Red coat,30.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
231,Rosaceae,Fragaria,sp.,Fragaria sp.,Cats kill,37.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
232,Rosaceae,Fragaria,sp.,Fragaria sp.,Shasta,32.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
233,Rosaceae,Fragaria,sp.,Fragaria sp.,Elista,42.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
234,Rosaceae,Fragaria,sp.,Fragaria sp.,Robinson,34.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
235,Rosaceae,Fragaria,sp.,Fragaria sp.,Missionary,38.0,crop,yes,yes,yes,yes,yes,yes,"Abrol, D. P. (1992). Energetics of nectar production in some strawberry cultivars as a predictor of floral choice by honeybees. Journal of biosciences, 17(1), 41-44.",
236,Rosaceae,Impatiens,gladulifera,Impatiens gladulifera,,48.0,weed,yes,yes,yes,,yes,yes,"Chittka, L., & Schürkens, S. (2001). Successful invasion of a floral market. Nature, 411(6838), 653.",
