number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
24,Verbenaceae,Diostea,juncea,Diostea juncea,,34.8,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
25,Fabaceae,Crotalaria,micans,Crotalaria micans,,59.4,wild,yes,yes,,yes,yes,yes,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
26,Malvaceae,Eriotheca,gracilipes,Eriotheca gracilipes,,44.8,wild,,,yes,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
27,Bignoniaceae,Anemopaegma,laevis,Anemopaegma laevis,,31.3,wild,,,,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
28,Costaceae ,Gossypium,barbadense,Gossypium barbadense,pima,52.9,crop,yes,yes,yes,yes,yes,yes,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
29,Bignoniaceae,Amphilophium ,elongata,Amphilophium  elongata,,40.6,wild,,yes,yes,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
30,Passifloraceae,Passiflora,alata,Passiflora alata,,62.9,crop,,yes,yes,yes,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
31,Gesneriaceae,Sinningia,aghensis,Sinningia aghensis,,18.3,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
32,Gesneriaceae,Sinningia,conspicua,Sinningia conspicua,,32.5,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
33,Gesneriaceae,Sinningia,eumorpha,Sinningia eumorpha,,31.1,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
34,Gesneriaceae,Sinningia,lindleyi,Sinningia lindleyi,,38.1,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
35,Gesneriaceae,Sinningia,schieneri,Sinningia schieneri,,38.6,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
36,Gesneriaceae,Sinningia,speciosa,Sinningia speciosa,,27.3,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
37,Gesneriaceae,Sinningia,villosa,Sinningia villosa,,34.0,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
38,Gesneriaceae,Sinningia,sp.nov.ined.1,Sinningia sp.nov.ined.1,,8.6,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
39,Gesneriaceae,Sinningia,barbata,Sinningia barbata,,26.3,wild,,,yes,,,,"Perret, M., Chautems, A., Spichiger, R., Peixoto, M., & Savolainen, V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany, 87(2), 267-273.",
40,Fabaceae,Pongamia,pinnata,Pongamia pinnata,,45.0,wild,,yes,,yes,yes,yes,"Raju, A. S., & Rao, S. P. (2006). Explosive pollen release and pollination as a function of nectar-feeding activity of certain bees in the biodiesel plant, Pongamia pinnata (L.) Pierre (Fabaceae). Current Science, 960-967.",
41,Violaceae,Hybanthus,prunifolius,Hybanthus prunifolius,,41.0,wild,,yes,yes,,,,"Roubik, D. W., & Buchmann, S. L. (1984). Nectar selection by Melipona and Apis mellifera (Hymenoptera: Apidae) and the ecology of nectar intake by bee colonies in a tropical forest. Oecologia, 61(1), 1-10.",
42,Rosaceae,Rubus,fruticousus ,Rubus fruticousus ,,25.7,crop,yes,yes,yes,yes,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
43,Rosaceae,Rubus,loganobaccus,Rubus loganobaccus,,30.03,crop,yes,yes,yes,yes,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
44,Fabaceae,Trifolium,repens,Trifolium repens,,30.4,crop,yes,yes,yes,yes,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
45,Fabaceae,Trifolium,pratense,Trifolium pratense,,17.9,crop,yes,yes,yes,yes,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
46,Malvaceae,Tilia,europaea,Tilia europaea,,32.3,wild,yes,yes,,,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
47,Onagraceae,Chamaenerion,angustifolium,Chamaenerion angustifolium,,26.2,weed,yes,yes,,,yes,,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
48,Boraginaceae,Borago,offlcinalis,Borago offlcinalis,,26.05,wild,yes,yes,yes,yes,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
49,Lamiaceae,Lavandula,sp.,Lavandula sp.,,28.2,crop,yes,yes,yes,,yes,yes,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
50,Lamiaceae,Pycnanthemum,pilosum,Pycnanthemum pilosum,,19.8,wild,,yes,,,,,"Wykes, G. R. (1953). The sugar content of nectars. Biochemical Journal, 53(2), 294.",
51,Rosaceae,Crataegus,phaenopyrum,Crataegus phaenopyrum,,47.8,wild,,yes,,,,yes,"Southwick, E. E., Loper, G. M., & Sadwick, S. E. (1981). Nectar production, composition, energetics and pollinator attractiveness in spring flowers of western New York. American Journal of Botany, 994-1002.",
